ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
263	38	2	1	0.000000	256.052632	186.184211	0.000000	0.000000	0	176	0
264	14	2	0	0.000000	309.285714	306.857143	0.000000	0.000000	0	284	0
265	7	1	1	0.000000	248.142857	162.571429	0.000000	0.000000	0	128	0
266	47	2	2	0.000000	389.297872	314.425532	0.000000	0.000000	0	262	0
267	6	1	1	0.000000	266.833333	266.833333	0.000000	0.000000	0	139	0
268	24	1	1	0.000000	155.541667	154.833333	0.000000	0.000000	0	83	0
269	65	1	1	0.000000	195.246154	117.246154	0.000000	0.000000	0	177	0
270	49	1	1	0.000000	278.326531	275.183673	0.000000	0.000000	0	195	0
271	68	2	2	0.000000	204.691176	200.514706	0.000000	0.000000	0	289	0
272	31	1	1	0.000000	157.516129	157.516129	0.000000	0.000000	0	100	0
273	10	2	2	0.000000	696.000000	387.900000	0.000000	0.000000	0	281	0
274	35	1	1	0.000000	265.828571	225.571429	0.000000	0.000000	0	131	0
275	42700	1	1	0.000000	139.293607	135.221546	0.000000	0.000000	0	25457	0
276	9	1	1	0.000000	137.111111	137.111111	0.000000	0.000000	0	80	0
277	38	1	1	0.000000	163.500000	162.368421	0.000000	0.000000	0	110	0
278	22	1	1	0.000000	122.181818	121.181818	0.000000	0.000000	0	68	0
279	14	2	1	0.000000	269.785714	267.357143	0.000000	0.000000	0	137	0
280	37	1	1	0.000000	291.891892	290.027027	0.000000	0.000000	0	186	0
281	10	1	1	0.000000	286.300000	284.100000	0.000000	0.000000	0	156	0
282	8	2	2	0.000000	444.375000	441.250000	0.000000	0.000000	0	259	0
283	33	1	1	0.000000	132.121212	130.757576	0.000000	0.000000	0	92	0
284	5	1	1	0.000000	127.200000	127.200000	0.000000	0.000000	0	71	0
285	16	1	1	0.000000	138.687500	138.687500	0.000000	0.000000	0	81	0
286	31	1	1	0.000000	333.677419	333.258065	0.000000	0.000000	0	244	0
287	19	1	0	0.000000	280.315789	277.000000	0.000000	0.000000	0	153	0
288	8	1	1	0.000000	132.750000	132.625000	0.000000	0.000000	0	75	0
289	1	1	1	0.000000	931.000000	245.000000	0.000000	0.000000	0	461	0
290	74	2	1	0.000000	300.162162	273.094595	0.000000	0.000000	0	426	0
291	17	1	1	0.000000	151.882353	151.882353	0.000000	0.000000	0	87	0
292	25	1	1	0.000000	143.560000	142.040000	0.000000	0.000000	0	86	0
293	5	1	2	0.000000	599.200000	158.200000	0.000000	0.000000	0	408	0
294	10	1	1	0.000000	121.000000	121.000000	0.000000	0.000000	0	64	0
295	7	1	1	0.000000	127.428571	126.428571	0.000000	0.000000	0	67	0
296	1	2	2	0.000000	522.000000	514.000000	0.000000	0.000000	0	279	0
297	51	1	1	0.000000	265.607843	260.509804	0.000000	0.000000	0	190	0
298	2347	1	1	0.000000	90.446527	86.654452	0.000000	0.000000	0	1168	0
299	43	1	1	0.000000	181.325581	180.837209	0.000000	0.000000	0	146	0
300	1	1	1	0.000000	91.000000	91.000000	0.000000	0.000000	0	47	0
301	12	1	2	0.000000	231.666667	231.666667	0.000000	0.000000	0	128	0
302	50	1	1	0.000000	129.020000	128.420000	0.000000	0.000000	0	97	0
303	11	1	1	0.000000	99.454545	99.090909	0.000000	0.000000	0	39	0
304	16	1	1	0.000000	161.875000	161.875000	0.000000	0.000000	0	98	0
305	84603	1	1	0.000000	134.045093	0.299422	0.000000	0.000000	0	49173	0
306	5	1	1	0.000000	136.000000	131.000000	0.000000	0.000000	0	64	0
307	28	1	1	0.000000	315.642857	313.285714	0.000000	0.000000	0	182	0
308	22	1	1	0.000000	409.318182	355.045455	0.000000	0.000000	0	262	0
309	17	2	2	0.000000	526.470588	514.588235	0.000000	0.000000	0	300	0
310	58	1	1	0.000000	396.672414	321.206897	0.000000	0.000000	0	280	0
311	41	3	2	0.000000	520.390244	343.682927	0.000000	0.000000	0	366	0
312	9	1	2	0.000000	278.222222	278.222222	0.000000	0.000000	0	135	0
313	17	1	2	0.000000	396.058824	396.058824	0.000000	0.000000	0	223	0
314	48	2	2	0.000000	515.812500	274.854167	0.000000	0.000000	0	391	0
315	11	1	1	0.000000	124.545455	122.545455	0.000000	0.000000	0	73	0
316	31	1	1	0.000000	123.354839	113.838710	0.000000	0.000000	0	83	0
317	3	1	1	0.000000	120.333333	120.333333	0.000000	0.000000	0	72	0
318	31	1	1	0.000000	243.935484	212.387097	0.000000	0.000000	0	196	0
319	3062	1	1	0.000000	104.779229	100.864794	0.000000	0.000000	0	1583	0
320	2	1	1	0.000000	120.000000	118.000000	0.000000	0.000000	0	65	0
321	10	1	1	0.000000	152.500000	152.200000	0.000000	0.000000	0	71	0
322	11	1	1	0.000000	127.636364	127.636364	0.000000	0.000000	0	64	0
323	6	2	2	0.000000	673.000000	314.000000	0.000000	0.000000	0	215	0
324	21	1	2	0.000000	397.047619	235.857143	0.000000	0.000000	0	231	0
325	3	1	1	0.000000	137.333333	45.666667	0.000000	0.000000	0	68	0
326	17	1	1	0.000000	134.764706	134.411765	0.000000	0.000000	0	76	0
327	45	1	1	0.000000	125.488889	123.644444	0.000000	0.000000	0	97	0
328	12	1	1	0.000000	362.833333	216.500000	0.000000	0.000000	0	268	0
329	3	1	1	0.000000	396.333333	390.333333	0.000000	0.000000	0	189	0
330	19	2	1	0.000000	277.421053	272.684211	0.000000	0.000000	0	201	0
331	20	1	1	0.000000	119.350000	118.250000	0.000000	0.000000	0	72	0
332	31	1	2	0.000000	249.870968	247.806452	0.000000	0.000000	0	192	0
333	31	1	1	0.000000	119.096774	119.096774	0.000000	0.000000	0	89	0
334	56	1	1	0.000000	284.267857	267.500000	0.000000	0.000000	0	181	0
335	1	1	1	0.000000	130.000000	130.000000	0.000000	0.000000	0	70	0
336	1	1	2	0.000000	496.000000	496.000000	0.000000	0.000000	0	88	0
337	1	1	1	0.000000	364.000000	364.000000	0.000000	0.000000	0	79	0
338	20	1	1	0.000000	385.350000	222.150000	0.000000	0.000000	0	235	0
339	22	1	1	0.000000	124.545455	123.318182	0.000000	0.000000	0	75	0
340	4	1	1	0.000000	133.750000	133.750000	0.000000	0.000000	0	66	0
341	1	1	1	0.000000	110.000000	110.000000	0.000000	0.000000	0	63	0
342	7	1	1	0.000000	243.285714	130.285714	0.000000	0.000000	0	126	0
343	31	1	1	0.000000	129.032258	128.419355	0.000000	0.000000	0	70	0
344	1	1	1	0.000000	266.000000	264.000000	0.000000	0.000000	0	116	0
345	9	3	2	0.000000	552.555556	275.111111	0.000000	0.000000	0	255	0
346	5	1	1	0.000000	122.600000	122.600000	0.000000	0.000000	0	52	0
347	6	2	2	0.000000	251.500000	251.500000	0.000000	0.000000	0	125	0
348	11	2	1	0.000000	282.909091	184.090909	0.000000	0.000000	0	144	0
349	128	1	1	0.000000	145.890625	144.367188	0.000000	0.000000	0	174	0
350	3	2	1	0.000000	262.666667	220.666667	0.000000	0.000000	0	143	0
351	7	1	2	0.000000	542.142857	282.142857	0.000000	0.000000	0	209	0
352	58	1	1	0.000000	124.551724	123.103448	0.000000	0.000000	0	95	0
353	4	1	1	0.000000	150.500000	143.750000	0.000000	0.000000	0	76	0
354	5	1	1	0.000000	137.200000	137.200000	0.000000	0.000000	0	72	0
355	40	1	1	0.000000	137.425000	98.100000	0.000000	0.000000	0	80	0
356	57	1	1	0.000000	205.210526	204.596491	0.000000	0.000000	0	126	0
357	31	1	1	0.000000	137.387097	136.096774	0.000000	0.000000	0	84	0
358	131	1	1	0.000000	214.687023	182.099237	0.000000	0.000000	0	250	0
359	9	1	1	0.000000	115.666667	115.666667	0.000000	0.000000	0	69	0
360	2	1	1	0.000000	135.500000	135.500000	0.000000	0.000000	0	74	0
361	3	1	1	0.000000	132.333333	131.333333	0.000000	0.000000	0	78	0
362	67	1	1	0.000000	169.641791	168.522388	0.000000	0.000000	0	209	0
363	43	1	1	0.000000	134.697674	132.046512	0.000000	0.000000	0	95	0
364	33	1	1	0.000000	123.454545	123.454545	0.000000	0.000000	0	71	0
365	28	1	1	0.000000	140.214286	140.214286	0.000000	0.000000	0	97	0
366	18	1	1	0.000000	124.611111	124.611111	0.000000	0.000000	0	67	0
367	31	1	1	0.000000	153.838710	152.419355	0.000000	0.000000	0	104	0
368	19	1	1	0.000000	112.842105	111.631579	0.000000	0.000000	0	56	0
369	44	1	1	0.000000	139.886364	137.000000	0.000000	0.000000	0	95	0
370	120	1	1	0.000000	258.325000	240.658333	0.000000	0.000000	0	202	0
371	37	1	1	0.000000	130.567568	130.567568	0.000000	0.000000	0	80	0
372	5	1	1	0.000000	127.800000	127.800000	0.000000	0.000000	0	63	0
373	3	1	1	0.000000	129.666667	129.666667	0.000000	0.000000	0	66	0
374	1	1	1	0.000000	135.000000	135.000000	0.000000	0.000000	0	73	0
375	447	2	2	0.000000	295.695749	263.172260	0.000000	0.000000	0	711	0
376	34	1	2	0.000000	286.235294	255.647059	0.000000	0.000000	0	184	0
377	15	1	1	0.000000	140.333333	140.066667	0.000000	0.000000	0	81	0
378	16	1	2	0.000000	289.250000	286.312500	0.000000	0.000000	0	159	0
379	7	1	2	0.000000	429.714286	422.857143	0.000000	0.000000	0	219	0
380	15	2	1	0.000000	544.600000	381.000000	0.000000	0.000000	0	262	0
381	16	1	2	0.000000	291.125000	55.812500	0.000000	0.000000	0	152	0
382	352	1	1	0.000000	143.346591	140.522727	0.000000	0.000000	0	276	0
383	31	1	1	0.000000	134.451613	113.000000	0.000000	0.000000	0	87	0
384	7	1	1	0.000000	136.857143	135.142857	0.000000	0.000000	0	73	0
385	49	0	0	0.000000	271.755102	170.795918	0.000000	0.000000	0	195	0
386	165	2	0	0.000000	312.078788	226.036364	0.000000	0.000000	0	400	0
387	6	2	0	0.000000	319.500000	155.833333	0.000000	0.000000	0	89	0
